Age,DiagnoseYear,Sex,Population
"[69,72)",2010,1,876447
"[72,75)",2010,1,710312
"[75,78)",2010,1,518252
"[78,Inf)",2010,1,982922
"[0,12)",2010,0,3860053
"[12,15)",2010,0,1618381
"[15,18)",2010,0,1897359
"[18,21)",2010,0,1856880
"[21,24)",2010,0,2129387
"[24,27)",2010,0,1545591
"[27,30)",2010,0,1261627
"[30,33)",2010,0,1176760
"[33,36)",2010,0,1899087
"[36,39)",2010,0,2423378
"[39,42)",2010,0,2606735
"[42,45)",2010,0,2388486
"[45,48)",2010,0,2427868
"[48,51)",2010,0,912927
"[51,54)",2010,0,1248313
"[54,57)",2010,0,1702203
"[57,60)",2010,0,1691712
"[60,63)",2010,0,1331366
"[63,66)",2010,0,1106213
"[66,69)",2010,0,966441
"[69,72)",2010,0,839464
"[72,75)",2010,0,701508
"[75,78)",2010,0,549978
"[78,Inf)",2010,0,1248771
"[0,12)",2011,1,4123460
"[12,15)",2011,1,1681907
"[15,18)",2011,1,1956199
"[18,21)",2011,1,1999541
"[21,24)",2011,1,2226238
"[24,27)",2011,1,2113356
"[27,30)",2011,1,1338034
"[30,33)",2011,1,1188981
"[33,36)",2011,1,1493439
"[36,39)",2011,1,2391100
"[39,42)",2011,1,2660591
"[42,45)",2011,1,2486042
"[45,48)",2011,1,2415570
"[48,51)",2011,1,1568517
"[51,54)",2011,1,1081644
"[54,57)",2011,1,1705252
"[57,60)",2011,1,1788043
"[60,63)",2011,1,1444926
"[63,66)",2011,1,1203656
"[66,69)",2011,1,1039662
"[69,72)",2011,1,901614
"[72,75)",2011,1,716272
"[75,78)",2011,1,539909
"[78,Inf)",2011,1,1062674
"[0,12)",2011,0,3665032
"[12,15)",2011,0,1555760
"[15,18)",2011,0,1821378
"[18,21)",2011,0,1827867
"[21,24)",2011,0,2041131
"[24,27)",2011,0,1958883
"[27,30)",2011,0,1222271
"[30,33)",2011,0,1184084
"[33,36)",2011,0,1534476
"[36,39)",2011,0,2371884
"[39,42)",2011,0,2594808
"[42,45)",2011,0,2451295
"[45,48)",2011,0,2355748
"[48,51)",2011,0,1525553
"[51,54)",2011,0,991083
"[54,57)",2011,0,1619015
"[57,60)",2011,0,1794657
"[60,63)",2011,0,1408143
"[63,66)",2011,0,1132589
"[66,69)",2011,0,1013096
"[69,72)",2011,0,863440
"[72,75)",2011,0,706713
"[75,78)",2011,0,579282
"[78,Inf)",2011,0,1325843
"[0,12)",2012,1,4004705
"[12,15)",2012,1,1560274
"[15,18)",2012,1,1901388
"[18,21)",2012,1,1928936
"[21,24)",2012,1,2234409
"[24,27)",2012,1,2282162
"[27,30)",2012,1,1373631
"[30,33)",2012,1,1312327
"[33,36)",2012,1,1284508
"[36,39)",2012,1,2189357
"[39,42)",2012,1,2594010
"[42,45)",2012,1,2701193
"[45,48)",2012,1,2333619
"[48,51)",2012,1,2124857
"[51,54)",2012,1,773127
"[54,57)",2012,1,1567037
"[57,60)",2012,1,1801742
"[60,63)",2012,1,1510715
"[63,66)",2012,1,1333825
"[66,69)",2012,1,1068474
"[69,72)",2012,1,920657
"[72,75)",2012,1,757792
"[75,78)",2012,1,589678
"[78,Inf)",2012,1,1104361
"[0,12)",2012,0,3573186
"[12,15)",2012,0,1422967
"[15,18)",2012,0,1773859
"[18,21)",2012,0,1779121
"[21,24)",2012,0,2032691
"[24,27)",2012,0,2116465
"[27,30)",2012,0,1261021
"[30,33)",2012,0,1245068
"[33,36)",2012,0,1331586
"[36,39)",2012,0,2200480
"[39,42)",2012,0,2535177
"[42,45)",2012,0,2642768
"[45,48)",2012,0,2295912
"[48,51)",2012,0,2061688
"[51,54)",2012,0,746889
"[54,57)",2012,0,1461934
"[57,60)",2012,0,1786192
"[60,63)",2012,0,1517971
"[63,66)",2012,0,1255853
"[66,69)",2012,0,1039522
"[69,72)",2012,0,898612
"[72,75)",2012,0,746050
"[75,78)",2012,0,616916
"[78,Inf)",2012,0,1375718
"[0,12)",2013,1,3938404
"[12,15)",2013,1,1371134
"[15,18)",2013,1,1755673
"[18,21)",2013,1,2056460
"[21,24)",2013,1,2079621
"[24,27)",2013,1,2335982
"[27,30)",2013,1,1706806
"[30,33)",2013,1,1401332
"[33,36)",2013,1,1155459
"[36,39)",2013,1,1895777
"[39,42)",2013,1,2468983
"[42,45)",2013,1,2676585
"[45,48)",2013,1,2421342
"[48,51)",2013,1,2503437
"[51,54)",2013,1,921159
"[54,57)",2013,1,1344170
"[57,60)",2013,1,1726429
"[60,63)",2013,1,1635880
"[63,66)",2013,1,1350115
"[66,69)",2013,1,1111821
"[69,72)",2013,1,948254
"[72,75)",2013,1,802372
"[75,78)",2013,1,626688
"[78,Inf)",2013,1,1165935
"[0,12)",2013,0,3530398
"[12,15)",2013,0,1231882
"[15,18)",2013,0,1622435
"[18,21)",2013,0,1917417
"[21,24)",2013,0,1890456
"[24,27)",2013,0,2160414
"[27,30)",2013,0,1577278
"[30,33)",2013,0,1288040
"[33,36)",2013,0,1199356
"[36,39)",2013,0,1916911
"[39,42)",2013,0,2437233
"[42,45)",2013,0,2616276
"[45,48)",2013,0,2394335
"[48,51)",2013,0,2426475
"[51,54)",2013,0,913182
"[54,57)",2013,0,1238878
"[57,60)",2013,0,1686033
"[60,63)",2013,0,1669656
"[63,66)",2013,0,1304386
"[66,69)",2013,0,1075242
"[69,72)",2013,0,928478
"[72,75)",2013,0,790861
"[75,78)",2013,0,643799
"[78,Inf)",2013,0,1447395
"[0,12)",2014,1,3909042
"[12,15)",2014,1,1197122
"[15,18)",2014,1,1685292
"[18,21)",2014,1,1974539
"[21,24)",2014,1,2035972
"[24,27)",2014,1,2263227
"[27,30)",2014,1,2150666
"[30,33)",2014,1,1369974
"[33,36)",2014,1,1217723
"[36,39)",2014,1,1517148
"[39,42)",2014,1,2406395
"[42,45)",2014,1,2667070
"[45,48)",2014,1,2486314
"[48,51)",2014,1,2404474
"[51,54)",2014,1,1555210
"[54,57)",2014,1,1063760
"[57,60)",2014,1,1669276
"[60,63)",2014,1,1741704
"[63,66)",2014,1,1394306
"[66,69)",2014,1,1150153
"[69,72)",2014,1,979261
"[72,75)",2014,1,829437
"[75,78)",2014,1,635757
"[78,Inf)",2014,1,1256490
"[0,12)",2014,0,3519335
"[12,15)",2014,0,1048283
"[15,18)",2014,0,1559771
"[18,21)",2014,0,1842412
"[21,24)",2014,0,1865954
"[24,27)",2014,0,2076281
"[27,30)",2014,0,1994754
"[30,33)",2014,0,1252907
"[33,36)",2014,0,1210568
"[36,39)",2014,0,1556960
"[39,42)",2014,0,2390074
"[42,45)",2014,0,2608627
"[45,48)",2014,0,2460860
"[48,51)",2014,0,2357993
"[51,54)",2014,0,1523325
"[54,57)",2014,0,985812
"[57,60)",2014,0,1605732
"[60,63)",2014,0,1773324
"[63,66)",2014,0,1381760
"[66,69)",2014,0,1103265
"[69,72)",2014,0,976216
"[72,75)",2014,0,816448
"[75,78)",2014,0,651661
"[78,Inf)",2014,0,1544525
"[0,12)",2015,1,3896982
"[12,15)",2015,1,1086774
"[15,18)",2015,1,1563493
"[18,21)",2015,1,1919924
"[21,24)",2015,1,1969640
"[24,27)",2015,1,2276263
"[27,30)",2015,1,2324185
"[30,33)",2015,1,1409514
"[33,36)",2015,1,1343825
"[36,39)",2015,1,1313110
"[39,42)",2015,1,2210560
"[42,45)",2015,1,2605601
"[45,48)",2015,1,2703626
"[48,51)",2015,1,2326656
"[51,54)",2015,1,2102313
"[54,57)",2015,1,763866
"[57,60)",2015,1,1536132
"[60,63)",2015,1,1757683
"[63,66)",2015,1,1460976
"[66,69)",2015,1,1277870
"[69,72)",2015,1,1010392
"[72,75)",2015,1,851464
"[75,78)",2015,1,676630
"[78,Inf)",2015,1,1339321
"[0,12)",2015,0,3523326
"[12,15)",2015,0,952911
"[15,18)",2015,0,1426621
"[18,21)",2015,0,1794526
"[21,24)",2015,0,1819901
"[24,27)",2015,0,2070151
"[27,30)",2015,0,2155235
"[30,33)",2015,0,1294458
"[33,36)",2015,0,1274292
"[36,39)",2015,0,1357265
"[39,42)",2015,0,2222425
"[42,45)",2015,0,2552694
"[45,48)",2015,0,2655018
"[48,51)",2015,0,2301158
"[51,54)",2015,0,2056389
"[54,57)",2015,0,745228
"[57,60)",2015,0,1452076
"[60,63)",2015,0,1767458
"[63,66)",2015,0,1492193
"[66,69)",2015,0,1226000
"[69,72)",2015,0,1004704
"[72,75)",2015,0,853055
"[75,78)",2015,0,690959
"[78,Inf)",2015,0,1625005
"[0,12)",2016,1,3897185
"[12,15)",2016,1,1016845
"[15,18)",2016,1,1373885
"[18,21)",2016,1,1773188
"[21,24)",2016,1,2098721
"[24,27)",2016,1,2124466
"[27,30)",2016,1,2380746
"[30,33)",2016,1,1743476
"[33,36)",2016,1,1434071
"[36,39)",2016,1,1186707
"[39,42)",2016,1,1921795
"[42,45)",2016,1,2484701
"[45,48)",2016,1,2682480
"[48,51)",2016,1,2416247
"[51,54)",2016,1,2474342
"[54,57)",2016,1,909383
"[57,60)",2016,1,1319799
"[60,63)",2016,1,1686573
"[63,66)",2016,1,1584375
"[66,69)",2016,1,1296426
"[69,72)",2016,1,1055640
"[72,75)",2016,1,881928
"[75,78)",2016,1,720676
"[78,Inf)",2016,1,1429279
"[0,12)",2016,0,3538306
"[12,15)",2016,0,896252
"[15,18)",2016,0,1234934
"[18,21)",2016,0,1641728
"[21,24)",2016,0,1959056
"[24,27)",2016,0,1928751
"[27,30)",2016,0,2200614
"[30,33)",2016,0,1611843
"[33,36)",2016,0,1318837
"[36,39)",2016,0,1226984
"[39,42)",2016,0,1941892
"[42,45)",2016,0,2457676
"[45,48)",2016,0,2631419
"[48,51)",2016,0,2401590
"[51,54)",2016,0,2419408
"[54,57)",2016,0,910569
"[57,60)",2016,0,1232566
"[60,63)",2016,0,1670688
"[63,66)",2016,0,1643446
"[66,69)",2016,0,1275821
"[69,72)",2016,0,1042376
"[72,75)",2016,0,884991
"[75,78)",2016,0,735808
"[78,Inf)",2016,0,1716052
"[0,12)",2017,1,3901991
"[12,15)",2017,1,980606
"[15,18)",2017,1,1199166
"[18,21)",2017,1,1700832
"[21,24)",2017,1,2017013
"[24,27)",2017,1,2081623
"[27,30)",2017,1,2309184
"[30,33)",2017,1,2186106
"[33,36)",2017,1,1403201
"[36,39)",2017,1,1249218
"[39,42)",2017,1,1547157
"[42,45)",2017,1,2424541
"[45,48)",2017,1,2675071
"[48,51)",2017,1,2482417
"[51,54)",2017,1,2378422
"[54,57)",2017,1,1528884
"[57,60)",2017,1,1046773
"[60,63)",2017,1,1632941
"[63,66)",2017,1,1689120
"[66,69)",2017,1,1341691
"[69,72)",2017,1,1096008
"[72,75)",2017,1,915303
"[75,78)",2017,1,748568
"[78,Inf)",2017,1,1521527
"[0,12)",2017,0,3557797
"[12,15)",2017,0,868349
"[15,18)",2017,0,1050565
"[18,21)",2017,0,1576958
"[21,24)",2017,0,1883710
"[24,27)",2017,0,1903695
"[27,30)",2017,0,2116712
"[30,33)",2017,0,2029286
"[33,36)",2017,0,1284458
"[36,39)",2017,0,1238968
"[39,42)",2017,0,1584264
"[42,45)",2017,0,2412505
"[45,48)",2017,0,2625884
"[48,51)",2017,0,2469806
"[51,54)",2017,0,2352919
"[54,57)",2017,0,1515275
"[57,60)",2017,0,982805
"[60,63)",2017,0,1593271
"[63,66)",2017,0,1747656
"[66,69)",2017,0,1353952
"[69,72)",2017,0,1072649
"[72,75)",2017,0,933871
"[75,78)",2017,0,762698
"[78,Inf)",2017,0,1813805
"[0,12)",2018,1,3903254
"[12,15)",2018,1,967187
"[15,18)",2018,1,1087931
"[18,21)",2018,1,1576799
"[21,24)",2018,1,1961453
"[24,27)",2018,1,2014922
"[27,30)",2018,1,2321913
"[30,33)",2018,1,2358215
"[33,36)",2018,1,1442064
"[36,39)",2018,1,1374313
"[39,42)",2018,1,1345096
"[42,45)",2018,1,2231260
"[45,48)",2018,1,2615379
"[48,51)",2018,1,2698165
"[51,54)",2018,1,2302072
"[54,57)",2018,1,2062794
"[57,60)",2018,1,754303
"[60,63)",2018,1,1505112
"[63,66)",2018,1,1707362
"[66,69)",2018,1,1409850
"[69,72)",2018,1,1222256
"[72,75)",2018,1,949300
"[75,78)",2018,1,772769
"[78,Inf)",2018,1,1636359
"[0,12)",2018,0,3574630
"[12,15)",2018,0,860141
"[15,18)",2018,0,954335
"[18,21)",2018,0,1441441
"[21,24)",2018,0,1834591
"[24,27)",2018,0,1856279
"[27,30)",2018,0,2109873
"[30,33)",2018,0,2189248
"[33,36)",2018,0,1325966
"[36,39)",2018,0,1302766
"[39,42)",2018,0,1385841
"[42,45)",2018,0,2246563
"[45,48)",2018,0,2571642
"[48,51)",2018,0,2664732
"[51,54)",2018,0,2297295
"[54,57)",2018,0,2044010
"[57,60)",2018,0,744937
"[60,63)",2018,0,1443102
"[63,66)",2018,0,1744420
"[66,69)",2018,0,1465367
"[69,72)",2018,0,1195519
"[72,75)",2018,0,964664
"[75,78)",2018,0,800403
"[78,Inf)",2018,0,1926022
