Pref,Pref.name,Age,DiagnoseYear,Sex,Population,CaseCount.TB,CaseCount.STBBI
5101,Chengdu,"[27,30)",2015,1,375221,265,634
5101,Chengdu,"[27,30)",2016,0,357281,198,417
5101,Chengdu,"[27,30)",2016,1,359404,242,651
5101,Chengdu,"[27,30)",2017,0,323401,180,444
5101,Chengdu,"[27,30)",2017,1,327580,256,634
5101,Chengdu,"[27,30)",2018,0,305199,148,423
5101,Chengdu,"[27,30)",2018,1,311213,192,596
5101,Chengdu,"[30,33)",2005,0,404069,251,198
5101,Chengdu,"[30,33)",2005,1,415964,438,571
5101,Chengdu,"[30,33)",2006,0,400889,235,200
5101,Chengdu,"[30,33)",2006,1,407403,389,465
5101,Chengdu,"[30,33)",2007,0,387014,181,186
5101,Chengdu,"[30,33)",2007,1,390448,348,426
5101,Chengdu,"[30,33)",2008,0,349259,162,146
5101,Chengdu,"[30,33)",2008,1,351882,273,327
5101,Chengdu,"[30,33)",2009,0,341810,132,175
5101,Chengdu,"[30,33)",2009,1,346148,210,309
5101,Chengdu,"[30,33)",2010,0,342714,93,234
5101,Chengdu,"[30,33)",2010,1,348496,190,297
5101,Chengdu,"[30,33)",2011,0,382515,106,220
5101,Chengdu,"[30,33)",2011,1,390412,177,301
5101,Chengdu,"[30,33)",2012,0,414380,125,165
5101,Chengdu,"[30,33)",2012,1,418232,197,352
5101,Chengdu,"[30,33)",2013,0,424993,110,206
5101,Chengdu,"[30,33)",2013,1,422620,145,432
5101,Chengdu,"[30,33)",2014,0,395315,106,200
5101,Chengdu,"[30,33)",2014,1,385370,116,426
5101,Chengdu,"[30,33)",2015,0,364634,109,211
5101,Chengdu,"[30,33)",2015,1,353055,141,425
5101,Chengdu,"[30,33)",2016,0,368499,125,274
5101,Chengdu,"[30,33)",2016,1,361085,174,461
5101,Chengdu,"[30,33)",2017,0,388604,150,345
5101,Chengdu,"[30,33)",2017,1,386265,233,524
5101,Chengdu,"[30,33)",2018,0,378548,137,490
5101,Chengdu,"[30,33)",2018,1,379497,190,627
5101,Chengdu,"[33,36)",2005,0,442948,204,133
5101,Chengdu,"[33,36)",2005,1,483024,348,474
5101,Chengdu,"[33,36)",2006,0,441352,177,130
5101,Chengdu,"[33,36)",2006,1,475426,367,436
5101,Chengdu,"[33,36)",2007,0,428700,171,179
5101,Chengdu,"[33,36)",2007,1,453906,350,415
5101,Chengdu,"[33,36)",2008,0,442147,150,165
5101,Chengdu,"[33,36)",2008,1,459295,326,319
5101,Chengdu,"[33,36)",2009,0,439701,137,207
5101,Chengdu,"[33,36)",2009,1,451075,228,350
5101,Chengdu,"[33,36)",2010,0,423210,122,238
