"Pref","F1.log.mean","F1.log.sd","F2.log.mean","F2.log.sd","F1.mean","F2.mean","F1.low","F1.high","F2.low","F2.high","CSSI","CITY_CODE","Pref.name","Population","CaseCount","incidence","CSSI.Female","CSSI.Male","size1","size2"
5113,0.174158663277204,0.0405953915849617,0.380844762546446,0.04615787712645,1.19122472419089,1.4650792771014,1.09756542503304,1.28728063717968,1.33597674038226,1.6002764763273,0.517329,"5113","Nanchong",88345840,69956,79.1842604020744,0.536124406,0.499065593,2.23941405117673,1.82444001183289
5114,0.212026023532528,0.0681373505194017,0.48519100779053,0.0728269391152858,1.23905100669752,1.62878878424952,1.07964351614067,1.41125416151871,1.4025890761762,1.86969608663183,0.5648534,"5114","Meishan",41864707,31796,75.9494148615444,0.572242015,0.557814569,1.33421522315428,1.15633416581538
5115,0.115864276913936,0.0496209300722767,0.457832632023222,0.0642166304945295,1.12422399441514,1.58390185951038,1.01643325571663,1.23428340643924,1.39089094759204,1.7889020092234,0.5051651,"5115","Yibin",62725102,58128,92.6710330419232,0.510672006,0.50000111,1.83208759279537,1.31137802220774
5116,0.273892079447315,0.0657722194224799,NA,NA,1.31792162560774,NA,1.15644405989352,1.49246522135156,4.31896740910498,5.62651331211605,0.4937557,"5116","Guang'an",46030101,51903,112.758822753832,0.508898112,0.479634489,1.3821928334885,NA
5117,0.172877897220229,0.0391745015823761,0.409915522992679,0.0424470298222104,1.18963354775774,1.50804752804739,1.10074184404337,1.28335877631257,1.38515910424332,1.6352395333855,0.5207122,"5117","Dazhou",77482202,85904,110.869332288724,0.530412827,0.511808473,2.32063936122377,1.98393805746798
5118,0.227885845500207,0.0749845906011538,0.244764794948454,0.0837459287564818,1.25947448105542,1.2818056407466,1.08356561191687,1.45615046499486,1.08295713764229,1.50266805578297,0.5796249,"5118","Yaan",21358369,13243,62.0037981364588,0.589676669,0.570576034,1.21238096520308,1.00556861857292
5119,0.146294019363349,0.0528273522198378,0.381654383361603,0.0555025130044342,1.15915032605461,1.46696100331566,1.04124777356059,1.28108833665184,1.31173389156784,1.63051678956028,0.4450878,"5119","Bazhong",46255563,50589,109.368466664215,0.461814974,0.428062955,1.72088674726814,1.51726963937712
5120,0.425817393198205,0.0909098903283848,NA,NA,1.53718344356309,NA,1.2761546257926,1.84378442017365,2.48279117040302,3.53343812633023,0.5414787,"5120","Ziyang",52296407,44753,85.5756687070299,0.531598532,0.550650682,1,NA
5132,0.0356647545759635,0.0723366611544504,0.107146001834967,0.044582813802786,1.03902833598683,1.1142036337495,0.903303486849296,1.20160999277927,1.02095713886586,1.21535991155111,0.3270348,"5132","Aba",12727062,17767,139.60016852279,0.334286919,0.320601871,1.25676094082194,1.88889553412394
5133,-0.0335415992698098,0.0620465414928441,0.085402648454765,0.0347592798667726,0.968881323987913,1.08981213454495,0.856151311718823,1.0980085498659,1.01544604947912,1.16246916783339,0.2794715,"5133","Ganzi",15300232,32113,209.885706308244,0.287911105,0.271826355,1.46518868161039,2.4227279222566
5134,0.142895603737328,0.0407719403618495,0.402495415863545,0.0319542216147811,1.1545686066612,1.49631517907765,1.0678039350218,1.25103953572382,1.40448193468109,1.58962654036397,0.4343251,"5134","Liangshan",63925748,77311,120.938749125,0.430863464,0.43756648,2.22971704367177,2.63540382569693
